region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,isСomplete,complitation_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction
msk,"Москва, улица Костикова, 4к1",103787040,110.6,34.6,,2,5,21,,1,2023,monolith,,,,37.5573009849619,55.7612846731082,,,"Улица 1905 года,Краснопресненская,Беговая","9,19,2","walk,walk,transport","Пресненский,ЦАО",0,0
msk,"Москва, Славянская площадь, 2/5с1",65920000,82.4,29.2,26.3,2,3,8,2022,,,monolithBrick,underground,,,37.635727,55.752541,,,"Китай-город,Лубянка,Площадь Революции","2,12,14","walk,walk,walk","Таганский,ЦАО",1,1
msk,"Москва, 3-й Обыденский переулок",456050000,204.0,38.4,82.6,3,3,6,,0,2026,monolith,underground,,3,37.6042283644176,55.742005340258,1,1,"Кропоткинская,Парк Культуры,Библиотека им. Ленина","5,13,16","walk,walk,walk","Хамовники,ЦАО",0,0
msk,"Москва, улица 3-я Ямского Поля, 9",250000000,324.5,,,4,6,6,,,,,,,,37.580894,55.781626,,,"Белорусская,Маяковская,Савёловская","7,5,5","walk,transport,transport","Беговой,САО",1,1
msk,"Москва, Ленинский проспект, 2",94362500,75.49,26.0,44.5,2,2,9,,0,2024,monolithBrick,,fine,,37.6112535068,55.7296107565,,,"Октябрьская,Добрынинская,Полянка","2,11,13","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Россия, Москва, Москва, улица Ефремова, 19к1",400000000,201.6,,,4,1,7,2016,,,monolithBrick,underground,,,37.570357,55.722568,1,1,"Спортивная,Лужники,Фрунзенская","7,12,15","walk,walk,walk","Хамовники,ЦАО",0,1
msk,"Москва, Ильинка",90450000,40.2,5.0,,,1,5,,0,2024,monolith,,,,37.6235092209009,55.7552009954911,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Москва, 2-я Звенигородская улица, 16, к7",243250000,138.57,40.5,,4,19,21,,,,monolith,multilevel,,,37.555391,55.763295,,,"Улица 1905 года,Беговая","7,5","walk,transport","Пресненский,ЦАО",,1
msk,"Москва, улица Ильинка, 3/8с3",531760000,200.7,67.2,57.7,3,3,3,,0,2024,monolith,,,,37.624184,55.755571,,,"Площадь Революции,Театральная","1,6","walk,walk","Тверской,ЦАО",0,0
msk,"Москва, Костикова ул., д. 4, к. 6",189060000,162.8,,,5,9,21,2022,,,monolith,,,,37.55637,55.761497,18,0,"Улица 1905 года,Краснопресненская","9,19","walk,walk","Пресненский,ЦАО",0,1
msk,"Москва, Богоявленский переулок, 6с1",1510840000,648.5,12.0,294.5,6,1,3,,0,2024,monolith,,,,37.62404,55.755652,,,"Площадь Революции,Театральная","1,6","walk,walk","Тверской,ЦАО",0,0
msk,"Россия, Москва, Рыбников переулок, 13/3",45000000,87.0,,,3,1,4,1880,,,brick,,,0,37.634892,55.767149,0,0,"Тургеневская,Сретенский бульвар,Чистые пруды","5,5,6","walk,walk,walk","Красносельский,ЦАО",,1
msk,"Москва, 1-й переулок Тружеников, 12",303725598,147.05,,,2,2,14,,0,2025,monolithBrick,,without,,37.5726140846557,55.7378653446,,,"Киевская,Фрунзенская,Смоленская","13,15,20","walk,walk,walk","Хамовники,ЦАО",0,0
msk,"Москва, улица Ефремова, 19к1",400000000,201.6,48.3,,5,1,9,2015,,,monolith,underground,,,37.570357,55.722568,,,,,,"Хамовники,ЦАО",0,1
msk,"Москва, Пресненская набережная, д. 8 стр. 1",226656499,223.3,20.0,,3,39,65,2008,,,,,,,37.539078,55.747115,1,,"Международная,Деловой центр,Выставочная","3,4,6","walk,walk,walk","Пресненский,ЦАО",1,1
msk,"Москва, 1-я Тверская-Ямская улица, 2",2455020000,1067.4,,,,9,9,,1,2022,monolith,underground,without,,37.5948676266339,55.7710883704405,,,"Маяковская,Тверская,Пушкинская","1,10,11","walk,walk,walk","Тверской,ЦАО",1,0
msk,"Россия, Москва, Комсомольский проспект, 23/7",30047200,58.8,29.0,,1,2,9,1961,,,brick,ground,,,37.583598,55.727212,,,"Фрунзенская,Парк Культуры,Спортивная","4,16,20","walk,walk,walk","Хамовники,ЦАО",1,1
msk,"Москва, улица Арбат, 39",180468421,201.7,,,2,3,5,,1,2019,monolith,underground,rough,,37.5895374169819,55.7487617544371,3,,"Смоленская,Арбатская","6,12","walk,walk","Арбат,ЦАО",0,0
msk,"Москва, Усачева улица, 13, к2.4, квартал 2(2.4)",209000000,135.08,20.3,73.0,3,5,12,,,,monolithBrick,multilevel,,,37.57201,55.726157,,,"Спортивная,Фрунзенская,Парк Культуры","7,10,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Софийская набережная, 36",101639382,105.2,,,2,1,7,,1,2022,,,,,37.623959,55.747611,4,4,"Новокузнецкая,Третьяковская,Китай-город","11,11,15","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Москва, ВЕСТ ГАРДЕН ЖК, к10",24700000,44.1,,,1,1,14,,,,monolith,multilevel,,,37.497953,55.716326,,,,,,"Раменки,ЗАО",,1
msk,"Москва, Софийская набережная, 36",106945102,112.8,,,2,2,7,,1,2022,,,,,37.623959,55.747611,4,4,"Новокузнецкая,Третьяковская,Китай-город","11,11,15","walk,walk,walk","Якиманка,ЦАО",1,0
msk,"Москва, Усачёва, д. 11Е",148000000,125.3,10.0,,3,6,14,2019,,,monolith,,,,37.571633,55.726867,11,12,"Спортивная,Фрунзенская,Лужники","10,14,15","walk,walk,walk","Хамовники,ЦАО",0,1
msk,"Москва, 3-й Обыденский переулок",239340000,76.6,32.9,23.1,1,4,6,,0,2026,monolith,underground,,2,37.6042283644176,55.742005340258,1,1,"Кропоткинская,Парк Культуры,Библиотека им. Ленина","5,13,16","walk,walk,walk","Хамовники,ЦАО",0,0
msk,"Москва, ВЕСТ ГАРДЕН ЖК, к10",78000000,127.1,8.3,83.2,5,8,14,,,,monolith,multilevel,,,37.497953,55.716326,,,,,,"Раменки,ЗАО",,1
msk,"Москва, Потаповский переулок, 5с4",217970000,120.3,37.0,35.8,2,3,6,,0,2025,monolith,underground,,1,37.64144303802863,55.761765709459695,1,,"Чистые пруды,Тургеневская,Сретенский бульвар","5,6,8","walk,walk,walk","Басманный,ЦАО",0,0
msk,"Москва, Усачева улица, 15А, квартал 2(2.10)",250000000,201.14,,,5,12,14,,,,monolithBrick,multilevel,,,37.570276,55.7256,,,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, улица Арбат, 39",150400000,178.6,,,2,3,5,,1,2019,monolith,underground,rough,,37.5895374169819,55.7487617544371,3,,"Смоленская,Арбатская","6,12","walk,walk","Арбат,ЦАО",0,0
msk,"Москва, Хилков пер., 1",375000000,162.9,17.0,98.0,3,4,8,,,,monolithBrick,underground,,1,37.599319,55.736681,2,1,"Парк Культуры,Кропоткинская,Октябрьская","6,14,18","walk,walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Ильинка",196080000,88.5,30.5,34.2,2,2,5,,0,2024,monolith,,,,37.6235092209009,55.7552009954911,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Москва, Усачева улица, 11Ж, квартал 3(3.7)",180000000,170.0,13.0,108.5,3,4,6,,,,monolithBrick,multilevel,,,37.570851,55.726979,,,"Спортивная,Фрунзенская,Парк Культуры","10,14,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, проспект Андропова, вл9/1",28800483,69.7,,,2,2,23,,1,2023,monolith,,without,,37.6672398220896,55.6906546805921,,3,"Технопарк,Коломенская,Автозаводская","5,15,4","walk,walk,transport","Нагатинский затон,ЮАО",0,0
msk,"Москва, Погодинская улица, 4, секция 2",290000000,201.6,20.0,133.0,4,4,8,,,,monolith,,,,37.571013,55.734973,,,"Фрунзенская,Киевская,Парк Культуры","16,5,5","walk,transport,transport","Хамовники,ЦАО",,1
msk,"Москва, Северный административный округ, район Беговой, Ленинградский проспект, вл8",29053268,39.6,,,1,20,37,,0,2027,monolith,underground,without,,37.58093571031,55.7806788746646,2,1,"Белорусская,Маяковская,Динамо","8,4,5","walk,transport,transport","Беговой,САО",0,0
msk,"Москва, Усачева улица, 11, квартал 2",220000000,199.32,,,5,10,16,,,,monolithBrick,multilevel,,,37.571767,55.727399,,,"Спортивная,Фрунзенская,Парк Культуры","10,14,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Дружинниковская улица, 15",60173080,73.02,,,2,4,20,,0,2024,monolithBrick,,,,37.57442504033561,55.75979377629122,2,1,"Краснопресненская,Баррикадная,Улица 1905 года","4,8,13","walk,walk,walk","Пресненский,ЦАО",1,0
msk,"Москва, Мантулинская улица, 9, к2",210000000,225.0,39.2,131.8,6,14,20,,,,monolith,multilevel,,,37.545626,55.755312,,,"Деловой центр,Международная,Выставочная","15,19,3","walk,walk,transport","Пресненский,ЦАО",,1
msk,"Москва, Дербеневская улица",18707580,38.7,18.2,12.0,2,10,27,,0,2026,monolith,,without,,37.6449734179683,55.7209805531047,1,2,"Серпуховская,Пролетарская,Павелецкая","20,2,4","walk,transport,transport","Даниловский,ЮАО",0,0
msk,"Москва, Ильинка",124590000,54.7,20.8,15.5,1,2,5,,0,2024,monolith,,,,37.6235092209009,55.7552009954911,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Москва, Коробейников переулок, 1",290120319,154.2,15.0,94.7,3,3,7,,,,monolith,multilevel,,,37.600891,55.737314,,,"Парк Культуры,Кропоткинская","7,14","walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Дубининская улица, 59к6",29472752,57.2,,23.3,2,14,27,,,2024,,,,,37.6356517202372,55.71786170144511,,,"Серпуховская,Павелецкая,Добрынинская","18,20,4","walk,walk,transport","Даниловский,ЮАО",0,0
msk,"Москва, Усачева улица, 13, к2.2, квартал 2(2.2)",364800000,228.0,,,5,6,12,,,,monolithBrick,multilevel,,,37.57201,55.726157,,,"Спортивная,Фрунзенская,Парк Культуры","7,10,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, улица Сергея Макеева",47810000,53.1,19.7,28.4,2,2,23,,0,2026,monolith,underground,without,,37.5495984651153,55.7635848915684,1,,"Улица 1905 года,Краснопресненская,Баррикадная","12,4,4","walk,transport,transport","Пресненский,ЦАО",0,0
msk,"Москва, Хилков переулок, 1",250000000,335.7,42.2,164.2,4,1,8,,,,,multilevel,,,37.599319,55.736681,,,Кропоткинская,14,walk,"Хамовники,ЦАО",,1
msk,"Москва, Западный административный округ, район Раменки, жилой комплекс Вест Гарден, к14",36230000,69.0,22.5,24.6,2,7,14,,1,2023,monolith,,,,37.4964885610361,55.7150361920507,1,1,"Ломоносовский проспект,Раменки,Минская","2,3,5","transport,transport,transport","Раменки,ЗАО",0,0
msk,"Москва, Комсомольский проспект, 32, к2",300546518,221.0,,,6,6,18,,,,monolithBrick,multilevel,,,37.578046,55.725975,,,"Фрунзенская,Спортивная,Парк Культуры","5,12,3","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, 1-й Красногвардейский проезд, 22с1",66500400,60.4,,,2,65,66,,1,2020,monolith,,without,,37.533742,55.751138,,,"Выставочная,Деловой центр,Тестовская","3,3,3","walk,walk,walk","Пресненский,ЦАО",1,0
msk,"Москва, Саввинская наб., 13",380000000,256.5,,,6,8,9,,,,brick,multilevel,,,37.567267,55.73554,,,"Киевская,Смоленская,Парк Культуры","12,5,6","walk,transport,transport","Хамовники,ЦАО",,1
msk,"Москва, улица Обручева",20286000,41.4,19.4,13.1,2,25,34,,0,2025,monolith,,without,,37.532481299207,55.6589834706462,2,2,"Калужская,Воронцовская,Беляево","8,11,5","walk,walk,transport","Обручевский,ЮЗАО",0,0
msk,"Москва, 3-я Фрунзенская улица, 5, к1",260000000,250.5,19.6,163.0,5,2,10,,,,monolith,underground,,,37.578343,55.719683,,,"Фрунзенская,Спортивная","14,15","walk,walk","Хамовники,ЦАО",,1
msk,"Москва, улица Арбат, 24",146715789,121.2,,,2,8,8,,1,2019,monolith,underground,rough,1,37.592285,55.750069,2,,"Смоленская,Арбатская","9,10","walk,walk","Арбат,ЦАО",0,0
msk,"Москва, Усачева улица, 11Ж, квартал 3(3.7)",190000000,170.0,13.0,108.5,3,4,6,,,,monolithBrick,multilevel,,,37.570851,55.726979,,,"Спортивная,Фрунзенская,Парк Культуры","10,14,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Софийская набережная, 34с3",180000000,75.0,10.0,43.3,2,5,7,,0,2026,monolith,underground,without,,37.622796830688,55.7463922322426,4,3,"Новокузнецкая,Третьяковская","10,10","walk,walk","Якиманка,ЦАО",0,0
msk,"Москва, Коробейников переулок, 1",407981699,215.0,70.0,,4,3,7,,,,monolith,multilevel,,,37.600891,55.737314,,,"Парк Культуры,Кропоткинская","7,14","walk,walk","Хамовники,ЦАО",,1
msk,"Москва, 2-я Хуторская улица",25607892,55.16,15.4,23.2,2,42,54,,0,2025,monolith,,,,37.5711056858421,55.8063057033718,1,1,"Дмитровская,Гражданская,Тимирязевская","6,16,3","walk,walk,transport","Савеловский,САО",0,0
msk,"Москва, Остоженка ул., 11",234045501,172.1,69.4,40.2,3,4,6,,,,monolithBrick,multilevel,,,37.599741,55.741744,,,Кропоткинская,6,walk,"Хамовники,ЦАО",,1
msk,"Москва, Большая Черёмушкинская улица",25230400,41.6,,,2,23,42,,1,2024,monolith,,without,,37.59277037884578,55.67819031833341,4,4,"Нагорная,Академическая,Крымская","20,5,8","walk,transport,transport","Котловка,ЮЗАО",0,0
msk,"Россия, Москва, улица Остоженка, 5",160000000,155.0,20.0,120.0,4,6,7,1914,,,brick,,,2,37.601439,55.74333,1,1,Кропоткинская,3,walk,"Хамовники,ЦАО",0,1
msk,"Москва, 1-я улица Бухвостова",30955670,71.81,,,2,2,17,,0,2025,monolith,,without,,37.7129462779126,55.7986301903708,1,1,"Преображенская площадь,Семёновская,Черкизовская","5,3,4","walk,transport,transport","Преображенское,ВАО",0,0
msk,"Москва, переулок Большой Гнездниковский, д.3",167000000,145.0,20.0,110.0,3,4,6,2008,,,,underground,,,37.604592,55.76172,2,0,"Пушкинская,Тверская,Чеховская","4,4,6","walk,walk,walk","Пресненский,ЦАО",0,1
msk,"Москва, Электролитный проезд, 12Б",16150400,39.2,,,2,8,34,,0,2026,monolith,,without,,37.6152154246058,55.6705825395779,3,1,"Нагорная,Нахимовский проспект,Нагатинская","8,4,10","walk,transport,transport","Нагорный,ЮАО",0,0
msk,"Москва, Большой Гнездниковский переулок, 3",167000000,143.7,20.0,92.0,3,4,6,,,,monolithBrick,underground,,,37.604592,55.76172,1,1,"Тверская,Пушкинская,Чеховская","4,4,6","walk,walk,walk","Пресненский,ЦАО",0,1
msk,"Москва, жилой комплекс Репаблик, к2.3",42945207,47.49,3.0,25.0,2,31,33,,0,2025,monolith,underground,without,,37.57254197099068,55.77374939839737,3,2,"Белорусская,Белорусская,Улица 1905 года","11,14,19","walk,walk,walk","Пресненский,ЦАО",1,0
msk,"Москва, 1-й Зачатьевский переулок, 5",182000000,184.6,16.0,,3,2,8,,,,monolith,multilevel,,,37.60381,55.739017,,,"Парк Культуры,Кропоткинская","10,11","walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Щукинская улица, 3",34068000,66.8,15.3,30.0,2,10,21,,1,2023,monolith,underground,without,,37.48122200600276,55.80840586470163,1,1,"Стрешнево,Стрешнево,Щукинская","9,11,12","walk,walk,walk","Щукино,СЗАО",0,0
msk,"Москва, Большой Гнездниковский переулок, 3",167000000,143.7,15.0,70.2,3,4,6,2008,,,monolithBrick,underground,,,37.604592,55.76172,1,,Пушкинская,4,walk,"Пресненский,ЦАО",,1
msk,"Москва, улица Мнёвники",30956162,61.18,20.9,,2,24,54,,0,2027,monolith,underground,,,37.5077421542052,55.7741898598792,1,,"Полежаевская,Хорошёвская","14,15","walk,walk","Хорошево-Мневники,СЗАО",0,0
msk,"Москва, Усачева улица, 15А, квартал 2(2.8)",135000000,118.71,18.0,70.2,3,3,11,,,,monolithBrick,multilevel,,,37.570276,55.7256,,,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Полковая улица",22671988,47.4,,,2,5,22,,0,2025,monolith,underground,without,,37.5975001540744,55.7986280976491,2,1,"Савёловская,Марьина Роща","10,6","walk,transport","Марьина роща,СВАО",0,0
msk,"Москва, Пресненский район,  улица 2-ая звенигородская улица 4.1",179300000,163.0,,,4,15,21,2021,,,monolith,,,,37.556227,55.761293,,,Улица 1905 года,9,walk,"Пресненский,ЦАО",,1
msk,"Москва, Береговой проезд, 2",28276398,78.7,26.2,26.4,2,3,18,,0,2024,monolithBrick,,without,,37.5078063512008,55.7597681819349,22,1,"Народное Ополчение,Фили,Багратионовская","3,4,4","transport,transport,transport","Филевский парк,ЗАО",0,0
msk,"Россия, Москва, Малый Лёвшинский переулок, 5к2",230000000,199.0,,,4,4,9,2003,,,monolith,underground,,,37.589464,55.741632,2,1,"Парк Культуры,Смоленская,Кропоткинская","9,11,12","walk,walk,walk","Хамовники,ЦАО",0,1
msk,"Москва, Кутузовский проспект",52968289,49.2,,,2,11,18,,0,2025,monolith,underground,,,37.5595977937,55.7517228631563,1,,"Выставочная,Киевская","19,5","walk,transport","Дорогомилово,ЗАО",0,0
msk,"Москва, Усачева улица, 15А, квартал 2(2.10)",113000000,100.0,8.4,56.5,2,8,14,,,,monolithBrick,multilevel,,,37.570276,55.7256,,,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",,1
msk,"Москва, Подольское шоссе, 3",33597290,63.3,7.2,37.9,2,3,13,,0,2024,monolith,underground,,,37.62448,55.713248,,,"Тульская,Серпуховская,Шаболовская","8,19,4","walk,walk,transport","Даниловский,ЮАО",1,0
msk,"Москва, Остоженка ул., 5",160000000,153.0,14.0,102.0,4,6,7,1914,,,brick,ground,,1,37.601439,55.74333,1,0,"Кропоткинская,Боровицкая,Арбатская","3,13,15","walk,walk,walk","Хамовники,ЦАО",,1
msk,"Москва, Ильинка",255050000,112.4,27.1,48.7,3,3,5,,0,2024,monolith,,,,37.6235092209009,55.7552009954911,,,"Площадь Революции,Театральная","3,6","walk,walk","Тверской,ЦАО",0,0
msk,"Россия, Москва, Мичуринский проспект, 56",45800000,78.0,,,3,36,52,2020,,,monolith,underground,,,37.485664,55.695804,2,2,"Раменки,Мичуринский проспект,Ломоносовский проспект","12,15,6","walk,walk,transport","Раменки,ЗАО",0,1
msk,"Москва, Мичуринский проспект, вл30Б",24847620,40.2,5.4,25.9,2,14,17,,0,2024,monolith,,,,37.498811777770335,55.70119424556461,,,"Раменки,Ломоносовский проспект,Мичуринский проспект","3,14,20","walk,walk,walk","Раменки,ЗАО",0,0
msk,"Москва, улица Палиха, 4",215900000,239.9,,191.0,,10,10,2019,,,monolith,underground,,,37.598582,55.783752,1,,"Менделеевская,Новослободская,Белорусская","3,6,13","walk,walk,walk","Тверской,ЦАО",1,1
msk,"Москва, Большой Толмачёвский переулок",133260000,72.6,31.0,14.2,1,2,14,,0,2024,monolith,underground,,,37.6219303055568,55.7396737042422,1,1,"Новокузнецкая,Полянка,Третьяковская","10,2,4","walk,transport,transport","Якиманка,ЦАО",0,0
msk,"Москва, Зубовская улица, 7",182681200,184.9,12.4,128.3,4,2,6,2023,,,monolithBrick,underground,,,37.583365,55.736934,2,,"Парк Культуры,Фрунзенская,Киевская","10,16,18","walk,walk,walk","Хамовники,ЦАО",1,1
msk,"Москва, Северо-Западный административный округ, район Покровское-Стрешнево, жилой комплекс Клубный Город на Реке Примавера, квартал Вивальди",29485060,60.1,13.1,29.0,2,4,10,,0,2025,monolith,underground,rough,1,37.424323796043,55.8133603842985,,,"Спартак,Тушинская","13,5","walk,transport","Покровское-Стрешнево,СЗАО",0,0
msk,"Москва, жилой комплекс Виктори Парк Резиденсез, 3к6",249000000,201.0,,,5,7,10,,0,2024,monolith,underground,fine,1,37.5177078212645,55.7320767661991,,,"Парк Победы,Поклонная,Багратионовская","9,10,6","walk,walk,transport","Дорогомилово,ЗАО",0,1
msk,"Москва, Дербеневская улица",43061697,55.8,,,2,5,11,,0,2025,monolithBrick,underground,without,,37.6542770089447,55.7253323113978,2,1,"Павелецкая,Пролетарская","16,18","walk,walk","Даниловский,ЮАО",0,0
msk,"Москва, Хилков переулок, 5",189000000,128.0,16.2,,3,3,6,2008,,,monolithBrick,underground,,,37.597001,55.738368,1,,Кропоткинская,11,walk,"Хамовники,ЦАО",,1
msk,"Москва, Поклонная улица, 9",102207781,86.8,,65.7,3,10,34,,0,2023,monolith,underground,fine,,37.525324,55.734334,1,1,"Кутузовская,Парк Победы","14,17","walk,walk","Дорогомилово,ЗАО",1,0
msk,"Москва, переулок Еропкинский, д.16/23",460000000,550.9,25.0,300.0,6,6,7,2010,,,,underground,,,37.592716,55.740451,4,1,"Парк Культуры,Кропоткинская","7,10","walk,walk","Хамовники,ЦАО",0,1
msk,"Москва, жилой комплекс Виктори Парк Резиденсез, 3к3",70678874,66.5,8.5,,2,2,13,,0,2024,monolith,,fine,,37.5164552103271,55.732453937557096,,,"Парк Победы,Кутузовская,Киевская","9,20,5","walk,walk,transport","Дорогомилово,ЗАО",0,0
msk,"Москва, Усачева улица, 15А, квартал 2(2.10)",103000000,99.71,12.3,44.2,2,9,14,,,,monolithBrick,multilevel,,,37.570276,55.7256,,,"Спортивная,Фрунзенская,Парк Культуры","6,11,4","walk,walk,transport","Хамовники,ЦАО",,1
